date,exam,event,event_type,exam_url
2026-08-01,BITSAT,BITSAT 2026 Iteration-V Announcement,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-01,CG PET,CG PET 2026 counselling registration - Institutional level,examPageEvent,https://www.shiksha.com/engineering/cg-pet-exam
2026-08-01,CSAB,CSAB NEUT Counselling 2026: Round 1 Seat Allotment,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-01,HPCET,HPCET 2026 Seat Allotment - Round 5,examPageEvent,https://www.shiksha.com/engineering/hpcet-exam
2026-08-01,LPU NEST,LPUNEST 2026 Phase 6 Registration,examPageEvent,https://www.shiksha.com/engineering/lpu-nest-exam
2026-08-01,LPU NEST,LPUNEST 2026 Phase 6 Slot Booking,examPageEvent,https://www.shiksha.com/engineering/lpu-nest-exam
2026-08-01,REAP,REAP 2026 Round 6: Last date to settlement of queries/objections online between institute & candidate and finalization of candidate’s reporting status,examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-01,REAP,REAP 2026 Round 7: Last date to apply for Upward movement (Upward-I for Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-01,SHIATS Entrance Exam,SHIATS 2026 Commencement of classes,examPageEvent,https://www.shiksha.com/university/shuats-sam-higginbottom-university-of-agriculture-technology-and-sciences/shiats-entrance-exam
2026-08-01,TS EAMCET,TS EAMCET 2026 MPC Counselling Final Phase - Certificate Verification for already Slot Booked candidates,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-01,TS EAMCET,TS EAMCET 2026 MPC Counselling Final Phase - Exercising Options after Certificate Verification,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-01,VGUCET,VGUCET exam date,examPageEvent,https://www.shiksha.com/university/vivekananda-global-university/vgucet-exam
2026-08-02,CSAB,CSAB NEUT Counselling 2026: Round 1 online reporting,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-02,CSAB,CSAB NEUT Counselling 2026: Reporting centre to report admission data,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-02,MHT CET,MHT CET 2026 CAP Round 1 Allotment Result,examPageEvent,https://www.shiksha.com/engineering/mht-cet-exam
2026-08-02,REAP,REAP 2026 Round 7: Seat Allotment upward (Upward-I for Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-02,TS EAMCET,TS EAMCET 2026 MPC Counselling Final Phase - Freezing of options,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-02,VGUCET,VGUCET result date,examPageEvent,https://www.shiksha.com/university/vivekananda-global-university/vgucet-exam
2026-08-03,ATIT,ATIT 2026 Commencement of Classwork,examPageEvent,https://www.shiksha.com/engineering/atit-exam
2026-08-03,CUSAT CAT,CUSAT CAT 2026 B.Tech Second Real Time Admission Starts,examPageEvent,https://www.shiksha.com/engineering/cusat-cat-exam
2026-08-03,KEAM,KEAM 2026 counselling phase 3 provisional allotment,examPageEvent,https://www.shiksha.com/engineering/keam-exam
2026-08-03,TNEA,TNEA 2026 General Counselling Round 2: CHOICE FILLING,examPageEvent,https://www.shiksha.com/b-tech/tnea-counselling
2026-08-03,UPTAC,UPTAC Counselling 2026 Seat Allotment (auto freeze for all candidates)- Round 4,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-04,AP EAMCET,Web Options Editing,examPageEvent,https://www.shiksha.com/engineering/ap-eamcet-exam
2026-08-04,AUEET,AUEET 2026 Counselling Registration - Round 3,examPageEvent,https://www.shiksha.com/university/andhra-university-visakhapatnam/aueet-exam
2026-08-04,IPU CET,IPU BTech 2026 Spot Round Registration,examPageEvent,https://www.shiksha.com/engineering/ipu-cet-exam
2026-08-04,IPU CET,IPU BTech 2026 Spot Round Registration,examPageEvent,https://www.shiksha.com/engineering/ipu-cet-exam
2026-08-04,JAC Chandigarh,Special Round: JAC Chandigarh 2026 Document Verification Process,examPageEvent,https://www.shiksha.com/b-tech/jac-chandigarh-counselling
2026-08-04,LPU NEST,LPUNEST 2026 Phase 6 Exam,examPageEvent,https://www.shiksha.com/engineering/lpu-nest-exam
2026-08-04,REAP,REAP 2026 Round 7: Last Date of online reporting upward (Upward-I for Rajasthan State Candidates only),examPageEvent,https://www.shiksha.com/b-tech/reap-counselling
2026-08-04,UPTAC,UPTAC Counselling 2026 Payment of Seat Confirmation fee for new allotment if any - Round 4,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-04,UPTAC,UPTAC Counselling 2026 Online Withdrawal - Round 4,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-04,UPTAC,UPTAC Counselling 2026 Physical Reporting of freeze candidates at the allotted Institution - Round 4,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-04,UPTAC,UPTAC Counselling 2026 Online willingness for internal sliding - Round 5,examPageEvent,https://www.shiksha.com/b-tech/uptac-counselling
2026-08-05,AEEE,Last date to apply with JEE Mains scores,examPageEvent,https://www.shiksha.com/engineering/aeee-exam
2026-08-05,AUEET,AUEET 2026 Counselling Choice Filling - Round 3,examPageEvent,https://www.shiksha.com/university/andhra-university-visakhapatnam/aueet-exam
2026-08-05,COMEDK UGET,COMEDK 2026 Counselling: Round 2 Choice Editing,examPageEvent,https://www.shiksha.com/engineering/comedk-uget-exam
2026-08-05,KEAM,KEAM 2026 counselling phase 3 final allotment,examPageEvent,https://www.shiksha.com/engineering/keam-exam
2026-08-05,TS EAMCET,TS EAMCET 2026 MPC Counselling Final Phase - Provisional Allotment of Seats,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-05,TS EAMCET,TS EAMCET 2026 MPC Counselling Final Phase - Payment of Tuition Fee & Self Reporting through website,examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-05,TS EAMCET,"TS EAMCET 2026 MPC Counselling Final Phase - Reporting at the College, in case of change of Branch/College",examPageEvent,https://www.shiksha.com/engineering/ts-eamcet-exam
2026-08-06,BITSAT,BITSAT 2026 Iteration-V fee payment deadline,examPageEvent,https://www.shiksha.com/engineering/bitsat-exam
2026-08-06,CSAB,"CSAB NEUT Counselling 2026: Round 1 Reconciliation of data, verification and validation of allotted seats",examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-06,CSAB,CSAB NEUT Counselling 2026: Reporting at the allotted Institute for admission,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-06,CSAB,CSAB Special Counselling 2026: Round 1 Seat Allotment,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-06,CSAB,CSAB Special Counselling 2026: Round 1 Exercising Willingness and Online Reporting,examPageEvent,https://www.shiksha.com/b-tech/csab-counselling
2026-08-06,DASA UG,DASA 2026 Seat Allotment 1,examPageEvent,https://www.shiksha.com/b-tech/dasa-ug-counselling
2026-08-06,IPU CET,IPU BTech 2026 Spot Seat Allotment,examPageEvent,https://www.shiksha.com/engineering/ipu-cet-exam
2026-08-06,IPU CET,IPU BTech 2026 Spot Seat Allotment,examPageEvent,https://www.shiksha.com/engineering/ipu-cet-exam
